titolo,descrizione,path_immagine,link_articolo,data
Istituzione della Banca Centrale Europea,Viene istituita la Banca Centrale Europea che sostituisce l'Istituto Monetario Europeo. Nasce con l'incarico di attuare la politica monetaria per i diciannove paesi dell'Unione europea che hanno aderito alla moneta unica e che formano la cosiddetta zona euro.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Logo_European_Central_Bank.svg/480px-Logo_European_Central_Bank.svg.png,https://it.wikipedia.org/wiki/Banca_centrale_europea,1946/06/01
Referendum Istituzionale,In questa data in Italia i cittadini e le cittadine che hanno raggiunto la maggiore età si recano alle urne per il Referendum iItituzionale. L'esito vedrà la vittoria a maggoranza della Repubblica ,https://upload.wikimedia.org/wikipedia/it/e/ea/Repubblica_festeggiamenti_1946.jpg,https://it.wikipedia.org/wiki/Festa_della_Repubblica_Italiana,1946/06/02
Elezioni per la XXI legislatura,La XXI legislatura in Italia ebbe inizio nel 1900 e si concluse il 18 ottobre 1904,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/La_Domenica_del_Corriere%2C_24_giugno_1900_-_Inaugurazione_XXI_legislatura.jpg/259px-La_Domenica_del_Corriere%2C_24_giugno_1900_-_Inaugurazione_XXI_legislatura.jpg,https://it.wikipedia.org/wiki/XXI_legislatura_del_Regno_d%27Italia,1900/06/03
Viene istituito il Ministero del lavoro e delle politiche sociali,Il Ministero del lavoro e delle politiche sociali è un dicastero del governo italiano che si occupa delle funzioni in materia di politica e sviluppo sull'occupazione.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Ministero_del_Lavoro_Roma_Via_Veneto.jpg/260px-Ministero_del_Lavoro_Roma_Via_Veneto.jpg,https://it.wikipedia.org/wiki/Ministero_del_lavoro_e_delle_politiche_sociali,1920/06/03
Pubblicazione del Manifesto dei Fasci Italiani di combattimento,Il Manifesto dei Fasci italiani di combattimento è il nome del movimento politico fondato a Milano da Benito Mussolini ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Logo_Fasci_di_Combattimento.svg/150px-Logo_Fasci_di_Combattimento.svg.png,https://it.wikipedia.org/wiki/Fasci_italiani_di_combattimento#Il_manifesto_programmatico,1919/06/06
La città del Vaticano diventa uno Stato sovrano,"Lo Stato della Città del Vaticano è uno Stato senza sbocco al mare della penisola italiana, governato da una teocrazia.E' il più piccolo Stato Sovrano al mondo sia per estensione che per popolazione.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_the_Vatican_City.svg/480px-Flag_of_the_Vatican_City.svg.png,https://it.wikipedia.org/wiki/Citt%C3%A0_del_Vaticano,1929/06/07
Francesco Cocco diventa la prima vittima delle Brigate Rosse,Egli era un procuratore della repubblica di Genova e in passato fu giudice istruttore a Nuoro. Egli nasce il 12 dicembre 1908 a Terralba e morì successivamente l'8 Giugno del 1976 a Genova. ,https://upload.wikimedia.org/wikipedia/it/thumb/e/eb/Francesco-coco-ritratto.jpg/297px-Francesco-coco-ritratto.jpg,https://it.wikipedia.org/wiki/Francesco_Coco_(magistrato),1976/06/08
Fondazione del Comitato Olimpico Nazionale italiano,Il Comitato Olimpico Nazionale è l'organismo del governo dello sport in Italia. Esso nasce inizialmente come organizzazione privata per organizzare sport italiani solo dopo diventò una sede mondiale per gestire tutti gli sport.,https://upload.wikimedia.org/wikipedia/it/thumb/6/6e/Logo_CONI_2014.svg/480px-Logo_CONI_2014.svg.png,https://it.wikipedia.org/wiki/Comitato_olimpico_nazionale_italiano,1914/06/10
L'Italia dichiara guerra alla Francia e alla Gran Bretagna nella Seconda Guerra Mondiale,L'ingresso in questo conflitto rappresenta il completamento del percorso della politica estera di aggressione voluto da Mussolini ,https://it.pearson.com/content/dam/region-core/italy/pearson-italy/images/storia-storialive/ITALY%20-%20DOCENTI%20-%20STORIA%20-%20CULTURA%20STORICA%20-%20Italia%20in%20guerra.jpg.transform/medium-size/img.jpeg,https://it.pearson.com/aree-disciplinari/storia/cultura-storica/novecento-mondo-attuale/italia-guerra-entusiasmo-crollo-consenso.html,1940/06/10
Muiono 378 persone per il bombardamento a Trieste,"In questa data si ricordano tutte quelle persone che morirono nel bombardamento che travolse Trieste e lasciò morti, feriti e molte persone senza case. Questo accadde perchè in quello stesso periodo l'Italia era in guerra e i nemici presero di mira Trieste.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Free_Territory_Trieste_Flag.svg/480px-Free_Territory_Trieste_Flag.svg.png,https://italia1943.altervista.org/bombardamento-su-trieste/?doing_wp_cron=1636536382.5696198940277099609375,1943/06/10
Nascita dell'Azione Cattolica Italiana,"Essa nasce grazie alla lettera enciclica ""Il fermo propoisito"" di  Papa Pio X",https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/C_o_a_Pius_X.svg/328px-C_o_a_Pius_X.svg.png,https://it.wikipedia.org/wiki/Il_fermo_proposito,1905/06/11
La città dell'Aquila viene liberata dalle truppe nazifasciste ,"Tutto ciò avvenne nella Campagna d'Italia fu l'insieme delle operazioni militari condotte dagli Alleati in Italia nell'ambito della seconda guerra mondiale, nel periodo che va dal giugno 1943 al maggio 1945; la campagna fu intrapresa prima per sconfiggere l'Italia fascista",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/L%27Aquila_2011_by-RaBoe-201.jpg/480px-L%27Aquila_2011_by-RaBoe-201.jpg,https://it.wikipedia.org/wiki/Campagna_d%27Italia_(1943-1945),1944/06/13
"Tre carabinieri vengono uccisi da ""Cosa Nostra"" a Palermo","I tre carabinieri uccisi erano Mario D'Aleo,29 anni, comandante della compagnia di carabinieri di Monreale, Giuseppe Bommarito,38 anni, e infine Pietro Morici, 26 anni. Furono uccisi dai sicari di ""Cosa Nostra"" in macchina.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Coat_of_arms_of_the_Carabinieri.svg/279px-Coat_of_arms_of_the_Carabinieri.svg.png,https://vittimemafia.it/13-giugno-1983-palermo-agguato-via-scobar-uccisi-il-capitano-mario-daleo-e-i-carabinieri-giuseppe-bommarito-e-pietro-morici/,1983/06/13
