titolo,descrizione,path_immagine,link_articolo,data
Approvazione della legge che regola l'istituto del divorzio,"Il parlamento italiano approva la legge che prende il nome dei primi due firmanti, Loris Fortuna e Antonio Baslini.",https://tse4.mm.bing.net/th?id=OIP.LpZOWUNik2q0C5GEegrEhwHaDt&pid=Api&P=0&w=335&h=168,https://www.radioradicale.it/scheda/621618/50-anni-fa-il-parlamento-approvava-la-legge-sul-divorzio-intervista-a-stefano-ceccanti,1970/12/01
Viene ufficializzato il primo caso di covid che darà inizio alla Pandemia COVID-19,"La pandemia covid-19 è un epidemia diffusa a livello globale della cosiddetta ""malattia da nuovo coronavirus""",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/COVID-19_Outbreak_World_Map.svg/260px-COVID-19_Outbreak_World_Map.svg.png,https://it.wikipedia.org/wiki/Pandemia_di_COVID-19,2019/12/01
Viene assassinato Leonardo Vitale,"Leonardo Vitale  è stato un mafioso e collaboratore di giustizia italiano. Venne ucciso perché denunciò alcuni mafiosi come:  Salvatore Riina, Giuseppe Calò, Vito Ciancimino.",https://upload.wikimedia.org/wikipedia/it/thumb/f/f4/Leonardo_Vitale.png/220px-Leonardo_Vitale.png,https://ricerca.repubblica.it/repubblica/archivio/repubblica/1984/12/08/morto-leonardo-vitale-il-primo-boss-pentito.html,1984/12/02
Terzo refendum costituzionale dlla storia repubblicana ,"Essa ebbe a oggetto la cosiddetta riforma costituzionale Renzi-Boschi, diretta a modificare sotto vari profili la seconda parte della Costituzione.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Urna_e_schede_-_referendum_costituzionale_2016.jpg/225px-Urna_e_schede_-_referendum_costituzionale_2016.jpg,https://it.wikipedia.org/wiki/Referendum_costituzionale_in_Italia_del_2016,2016/12/04
Si svolge a Roma la prima manifestazione nazionale del Movimento femminile.,"Esso fu un corteo che giungeva a tre mesi da uno degli episodi piu' drammatici della cronaca italiana, il massacro del Circeo, quando due ragazze, Rosaria Lopez e Donatella Colasanti vengono violentate e massacrate di botte da tre ragazzi della 'Roma bene'.",https://www.ilmessaggero.it/photos/MED/21/74/732174_0141205_manifestazione_femminista.jpg,"https://www.agi.it/cronaca/diritti_donne_40_anni_fa_prima_manifestazione_femminista_italia-41562/news/2015-12-05/#:~:text=Roma%20%2D%20Quarant'anni%20fa%2C,nazionale%20del%20Movimento%20Femminista%20italiano.&text=Il%20massacro%20del%20Circeo%20fu,soprattutto%20nel%20nascente%20movimento%20femminista.",1975/12/06
Enrico fermi riceve il Premio Nobel per la Fisica,Enrico Fermi è stato un fisico italiano noto principalmente per gli studi teorici e sperimentali della meccanica quantistica e della fisica nucleare,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Enrico_Fermi_1943-49.jpg/220px-Enrico_Fermi_1943-49.jpg,https://it.wikipedia.org/wiki/Enrico_Fermi,1938/12/10
Consegna premio nobel a Salvatore Quasimodo.,"Egli era un poeta e traduttore italiano, esponente di rilievo dell'ermetismo. Egli è considerato uno dei poeti italiani di maggior rilievo del XX secolo",http://www.messinaora.it/notizia/wp-content/uploads/2015/11/quasimodo.jpg,https://www.radiortm.it/2019/05/03/modica-premio-nobel-a-salvatore-quasimodo-i-sessanta-anni-dalla-consegna-con-un-programma-fitto-di-eventi-sino-a-dicembre-si-comincera-l8-maggio-al-palacultura/,1959/12/10
Strage di Via Lazio,"La strage di viale Lazio fu uno dei più cruenti regolamenti di conti della storia di ""Cosa Nostra""",https://upload.wikimedia.org/wikipedia/it/thumb/c/cf/Viale_Lazio_Cavataio.JPG/260px-Viale_Lazio_Cavataio.JPG,https://it.wikipedia.org/wiki/Strage_di_viale_Lazio,1969/12/10
Guglielmo Marconi capta con le sue apparecchiature il primo segnale radio transoceanico,"Egli è stato un inventore, imprenditore e politico italiano. A lui si deve lo sviluppo di un efficace sistema di telecomunicazione a distanza.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Guglielmo_Marconi.jpg/360px-Guglielmo_Marconi.jpg,https://it.wikipedia.org/wiki/Guglielmo_Marconi,1901/12/12
 Recupero della Gioconda.  ,"La Gioconda, nota anche come Monna Lisa, celebre capolavoro di Leonardo da Vinci,  fu ritrovata a Firenze  dopo che due anni prima era stata trafugata dal Lovre ad opera di Vincenzo Perruggia.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Mona_Lisa%2C_by_Leonardo_da_Vinci%2C_from_C2RMF_retouched.jpg/322px-Mona_Lisa%2C_by_Leonardo_da_Vinci%2C_from_C2RMF_retouched.jpg,https://it.wikipedia.org/wiki/Gioconda,1913/12/12
