titolo,descrizione,path_immagine,link_articolo,data
Viene nominato il nuovo presidente della Banca Centrale Europea,"Mario Draghi entra ufficialmente in carica come presidente della Banca centrale europea, succedendo a Jean Claude Trichet.",https://immagini.unionesarda.it/version/c:MjcxMjkyYjQtMGQyOS00:MjRiMDkw/image.jpg?f=3%3A2&q=0.75&w=635,https://www.google.it/url?sa=i&url=https%3A%2F%2Fwww.unionesarda.it%2Ffoto%2Faccaddeoggi-1-novembre-2011-mario-draghi-diventa-presidente-della-bce-gddduvyp%3Famp%3D1&psig=AOvVaw31W-PUAY9LkB8yzsxquxcs&ust=1636819113286000&source=images&cd=vfe&ved=0CAwQjhxqFwoTCMiJnMuYk_QCFQAAAAAdAAAAABAJ,2011/11/01
L'attore Gigi Proietti muore,"L'attore, Gigi Proietti, drammaturgo e regista di grande talento e professionalità, scompare nel giorno del suo ottantesimo compleanno. La sua è stata una  lunghissima carriera densa di successi in teatro, al cinema e in tv.",https://www.lamiacittanews.it/wp-content/uploads/2021/11/download.jpeg-18.jpg,https://www.google.it/url?sa=i&url=https%3A%2F%2Fwww.corriere.it%2Fcronache%2F20_novembre_02%2Fgigi-proietti-morto-giorno-dell-80-compleanno-d4c6052c-1cca-11eb-96cf-67d3c6522771.shtml&psig=AOvVaw2j7fxN0UdO1fcqpxt1lQqO&ust=1636819305406000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCIDP4Z6Zk_QCFQAAAAAdAAAAABAI,2020/11/02
Il Piemonte viene devastato da un'alluvione,"L'alluvione del Piemonte si verificò in seguito a fortissime precipitazioni cadute principalmente in Valle di Mosso, nell'allora provincia di Vercelli. Il disastro provocò  72 vittime e l'evacuazione di centinaia di abitazioni.",https://upload.wikimedia.org/wikipedia/it/thumb/2/2b/Alluvione_biellese_1966_ansa.JPG/215px-Alluvione_biellese_1966_ansa.JPG,https://it.wikipedia.org/wiki/Alluvione_del_Piemonte_del_1968,1968/11/03
Prima guerra mondiale: l'Impero austro-ungarico si arrende all'Italia,"Il Bollettino della Vittoria annunciò la resa dell' Impero austro-ungarico all'Italia, in base all'armistizio firmato a Villa Giusti, nei pressi di Padova. Con il successivo Trattato di Saint-Germain-en-Laye (1919), l'Italia completa l'unità nazionale con l'annessione di Trento e Trieste. ",https://www.libertates.com/newlibertates/wp-content/uploads/2018/11/scogramiglio-piccolo.jpg,https://www.google.it/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwiAhqLMmpP0AhUN_rsIHeXCCg8QFnoECDEQAQ&url=https%3A%2F%2Fwww.quotidianocontribuenti.com%2Fnew%2F4-novembre-1918-prima-guerra-mondiale-limpero-austro-ungarico-si-arrende-allitalia%2F&usg=AOvVaw12s2S2otS1DxHUDJ1zhGek,1918/11/04
La piena dell'Arno e l'Alluvione di Firenze,"In seguito ad un'eccezionale ondata di maltempo, la piena dell'Arno raggiunse Firenze inondando la città. L'acqua, in alcuni punti raggiunse l'altezza di oltre 4 metri. Fu uno dei più gravi eventi alluvionali accaduti in Italia, e causò seri danni al patrimonio artistico fiorentino. (aggiungi notizie sui cosiddetti ""angeli del fango"")",https://www.gelestatic.it/thimg/dHscV0kDrCpz_WKTiCI6IThx-H0=/fit-in/495x330/https://www.repstatic.it/content/localirep/img/rep-firenze/2019/11/17/132411415-b6e2d67c-b5b8-498e-bbde-a12a12a5f450.jpg,https://www.google.it/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjjgbrwm5P0AhXcgv0HHWAhAQcQFnoECAYQAQ&url=https%3A%2F%2Fit.wikipedia.org%2Fwiki%2FAlluvione_di_Firenze_del_4_novembre_1966&usg=AOvVaw1YoH-k0H1C2csuCLL2UncV&cshid=1636733732277850,1966//11/04
Viene aperta a Roma la conferenza mondiale sull'alimentazione,"Si apre a Roma la Conferenza mondiale sull'alimentazione, organizzata dall'Organizzazione delle Nazioni Unite con la partecipazione dei delegati di 130 nazioni, di numerose organizzazioni ""inter"" e ""non"" governative e più di 1200 giornalisti provenienti da quasi tutti i Paesi. (aggiungi i principali temi trattati nella conferenza)
",https://www.ilmessaggero.it/photos/MED/28/52/672852_0141105_fao_roma.jpg,https://www.google.it/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiY7pXgnJP0AhX7hv0HHfxBBOoQFnoECAMQAQ&url=https%3A%2F%2Fwww.ilmessaggero.it%2Frubriche%2Faccadde_oggi%2F5_novembre_1974_roma_conferenza_mondiale_alimentazione-672852.html&usg=AOvVaw3ekR1ZjDZe3u_A7Tiqeo4f,1974/11/05
Grande eruzione dell'Etna: distrutta completamente Mascali,"La cittadina di Mascali viene cancellata dalle mappe topografiche a causa di una colata lavica che la sommerse. L’eruzione del 1928 è l’unico evento eruttivo, dal XVIII secolo ad oggi, che causò la distruzione di un centro abitato dell’Etna. ",https://upload.wikimedia.org/wikipedia/it/b/b1/Mascali_distruzione.jpg,https://www.google.it/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwi5xf_tnZP0AhVJgv0HHekZDbsQFnoECAcQAw&url=https%3A%2F%2Fit.wikipedia.org%2Fwiki%2FEruzione_dell%2527Etna_del_1928%23%3A~%3Atext%3DL%27eruzione%2520dell%27Etna%2520del%2Cle%2520comunicazioni%2520ferroviarie%2520e%2520stradali.&usg=AOvVaw3TBHVs67JFAlq9m9ab2ilQ,1928/11/06
Nasce Striscia La Notizia,"Dagli studi di Antennatre di Legnano va in onda su Italia 1 la prima puntata di Striscia la notizia - Giornale Radio, primo telegiornale satirico della storia della televisione italiana, ideato da Antonio Ricci.",https://th.bing.com/th/id/R.a4319ab8b7ea7ed95630affe82c6a97f?rik=SvQuedVoeQzLdQ&riu=http%3a%2f%2fwww.notiziare.it%2fwp-content%2fuploads%2f2016%2f07%2fStriscia-la-notizia-canale-5.jpg&ehk=I0bxd7k9LDJgGnayuKLpFzYisqw2A5AAm7lbKbo7UpE%3d&risl=&pid=ImgRaw&r=0,https://www.striscialanotizia.mediaset.it/video/la-prima-puntata-della-storia-di-striscia-la-notizia_69795.shtml,1988/11/07
 Arresto di Antonio Gramsci,"Antonio Gramsci, fondatore del PCI, deputato comunista eletto nel 1924, filosofo, politologo, giornalista, linguista e critico letterario italiano, venne arrestato con l'accusa di attività cospirativa, istigazione alla guerra civile, apologia di reato e incitamento all'odio di classe. Dal regime fascista nei suoi confronti non fu rispettata l'immunità parlamentare. Gramsci,  durante la prigionia, scrsse  I Quaderni del carcere.",https://lh3.googleusercontent.com/proxy/wHvW4YpBLrE0641mUOcuf-9YBgyYSFvb2075dR01pBF57M-zZVtCkjuEV9rgSWLo598_YQwPJw0uh0Az5aY8Z-Bjgk9Kkq31sRsMyhYX6t0NTf8ebMdcqVoTmo-riJbFXv5aoeQy7ht2oV8low,https://www.google.it/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwj7kercn5P0AhWiTeUKHVKhBkkQFnoECAIQAQ&url=https%3A%2F%2Fwww.ilmessaggero.it%2Frubriche%2Faccadde_oggi%2Faccadde_oggi_8_novembre_1926_antonio_gramsci-2066368.html&usg=AOvVaw0ir5ZUoNCh1_WSFGdyjzZP&cshid=1636734669480067,1926/11/08
Referendum  contro il nucleare ,"Lo sfruttamento dell'energia nucleare in Italia ha avuto luogo tra il 1963 e il 1990. Le cinque centrali nucleari italiane vengono chiuse per raggiunti limiti d'età, o a seguito dei referendum del 1987.",https://images.businessonline.it/articoli/original/esistono-ancora-centrali-nucleari-in-italia.jpg,https://www.google.it/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiTicywoJP0AhUNg_0HHZZWAFcQFnoECAQQAQ&url=https%3A%2F%2Fwww.ecologistasenaccion.org%2F20799%2Freferendum-contro-lenergia-nucleare-in-italia%2F&usg=AOvVaw3tMBPT1ChjlxAP_cZA5mf6&cshid=1636734916997763,1987/11/09
